id | URL | headline | author | date
1 | https://www.theverge.com/2023/4/8/23674577/apple-airpods-pro-ring-video-doorbell-pro-2-apple-ipad-amazon-kindle-deal-sale | "Apple’s latest AirPods Pro have hit their all-time low at Amazon" | Sheena Vasani | 2023/4/8
2 | https://www.theverge.com/23662032/smartphone-dumb-phone-tik-tok-instagram-mental-health | "In celebration of the dumb phone, a rare sanity-saving gadget" | Sheena Vasani | 2023/4/8
3 | https://www.theverge.com/2023/4/8/23675801/substack-ceo-pushes-back-at-elon-says-twitter-situation-is-very-frustrating | "Substack CEO pushes back at Elon, says Twitter situation is “very frustrating”" | Nilay Patel | 2023/4/9
4 | https://www.theverge.com/23674395/dell-xps-13-2022-intel-review | "Dell XPS 13 review: Dell is coasting (and that’s fine)" | Monica Chin | 2023/4/8
5 | https://www.theverge.com/23673999/ps5-how-to-manage-playstation-console | "11 ways to power up your gaming on your PS5" | David Nield | 2023/4/8
6 | https://www.theverge.com/2023/4/8/23675248/today-on-the-vergecast-twitters-a-mess-car-infotainment-systems-are-a-mess-prime-videos-a-mess | "Today on The Vergecast: Twitter’s a mess. Car infotainment systems are a mess. Prime Video’s a mess." | David Pierce | 2023/4/8
7 | https://www.theverge.com/23671137/best-laptop-microphone-test-vergecast | "Your laptop’s microphone might sound better than you think" | Andrew Marino | 2023/4/6
8 | https://www.theverge.com/2023/4/5/23671190/today-on-the-vergecast-clippys-back-again | "Today on The Vergecast: Clippy’s back. Again." | David Pierce | 2023/4/5
9 | https://www.theverge.com/2023/4/4/23669463/silicon-valley-bank-collapse-brex-ceo-henrique-dubugras-banking-crisis-fintech | "Watching Silicon Valley Bank melt down from the front row, with Brex CEO Henrique Dubugras" | Nilay Patel | 2023/4/4
10 | https://www.theverge.com/2023/3/31/23664763/today-on-the-vergecast-when-you-see-the-swaggy-pope-its-all-over | "Today on The Vergecast: When you see the swaggy Pope, it’s all over." | David Pierce | 2023/3/31
